tiempo,dato1a.n_seg,dato1b.n_seg,dato1c.n_seg,dato2a.n_seg,dato2b.n_seg,dato2c.n_seg,dato3a.n_seg,dato3b.n_seg,dato3c.n_seg,dato4a.n_seg,dato4b.n_seg,dato4c.n_seg,dato5a.n_seg,dato5b.n_seg,dato5c.n_seg,dato6a.n_seg,dato6b.n_seg,dato6c.n_seg,dato7a.n_seg,dato7b.n_seg,dato7c.n_seg,dato8a.n_seg,dato8b.n_seg,dato8c.n_seg,dato9a.n_seg,dato9b.n_seg,dato9c.n_seg,dato10a.n_seg,dato10b.n_seg,dato10c.n_seg,dato11a.n_seg,dato11b.n_seg,dato11c.n_seg,dato12a.n_seg,dato12b.n_seg,dato12c.n_seg,dato13a.n_seg,dato13b.n_seg,dato13c.n_seg,dato14a.n_seg,dato14b.n_seg,dato14c.n_seg,dato15a.n_seg,dato15b.n_seg,dato15c.n_seg,dato16a.n_seg,dato16b.n_seg,dato16c.n_seg,dato17a.n_seg,dato17b.n_seg,dato17c.n_seg,dato18a.n_seg,dato18b.n_seg,dato18c.n_seg,dato19a.n_seg,dato19b.n_seg,dato19c.n_seg,dato20a.n_seg,dato20b.n_seg,dato20c.n_seg,mean
14,2,0,1,2,0,0,1,2,1,2,2,0,1,0,2,0,1,2,0,0,0,1,0,0,0,0,1,2,3,2,0,2,1,2,0,0,0,2,3,0,3,1,2,2,1,1,2,0,0,1,2,0,0,0,1,0,0,1,3,1,0.983333333
15,3,1,0,1,2,2,2,2,1,0,1,2,0,1,1,1,0,2,0,1,0,2,0,1,0,0,0,1,1,2,1,2,2,1,1,0,0,1,2,2,1,0,2,0,1,1,0,2,1,1,0,1,1,2,1,1,1,1,0,2,1.016666667
16,1,3,2,0,0,1,1,0,3,1,2,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,2,1,2,0,3,3,3,1,2,1,0,0,3,1,2,1,1,2,0,1,2,3,2,0,0,2,3,2,1,1,0,0,1,0,1.1
17,2,0,0,1,1,0,2,0,1,1,1,0,1,2,0,1,0,1,3,0,2,0,0,2,1,0,0,1,2,2,0,3,1,4,0,2,0,2,2,1,1,1,1,2,2,2,0,3,0,0,1,2,0,0,0,0,3,2,0,0,1.033333333
18,2,0,1,1,0,0,0,2,3,2,1,0,3,1,1,0,1,1,1,0,1,0,1,0,1,3,1,2,1,0,0,2,2,2,0,2,0,2,2,2,1,1,1,0,3,0,0,1,1,0,1,2,0,2,2,0,0,2,2,0,1.05
19,1,0,1,0,0,1,2,1,1,4,2,1,1,0,1,1,1,3,0,3,1,2,0,2,3,1,0,4,2,0,2,4,1,2,1,3,0,1,1,0,2,0,1,1,1,1,3,1,1,3,2,2,3,0,1,0,1,0,1,2,1.333333333
20,1,0,1,1,2,1,2,0,0,1,0,0,0,1,0,1,0,0,0,2,0,0,0,1,0,0,2,1,0,1,1,2,1,1,0,2,0,1,0,0,1,1,1,3,0,2,2,2,0,2,0,1,1,1,2,0,2,0,0,2,0.816666667
21,1,2,0,1,1,1,2,0,2,0,0,1,0,2,0,2,0,2,2,0,1,3,2,3,2,1,0,1,2,0,0,3,3,1,0,0,0,0,1,0,1,1,1,2,0,0,2,1,1,1,1,2,1,0,0,0,1,0,2,0,0.983333333
22,2,1,0,0,0,3,1,2,1,2,1,0,2,1,2,1,1,3,4,0,1,2,2,0,0,2,1,3,2,2,1,2,0,0,0,0,0,0,1,0,0,1,1,2,3,2,0,2,1,1,0,2,0,1,1,0,0,1,0,1,1.083333333
23,0,2,1,0,0,2,0,2,0,0,1,0,1,0,0,1,0,0,2,3,0,0,0,1,2,0,0,0,2,2,2,1,1,1,3,1,0,3,3,1,3,0,1,1,0,1,0,1,3,3,2,0,1,1,2,1,2,1,5,0,1.1
24,2,0,1,1,4,2,2,1,0,4,0,1,1,0,1,1,1,0,0,1,0,0,1,3,1,0,2,1,3,2,0,0,2,0,1,3,0,0,0,1,2,3,1,0,2,2,3,1,1,1,1,2,0,0,1,1,0,0,0,0,1.066666667
25,3,2,2,0,1,1,1,2,3,0,2,1,3,3,1,0,2,3,0,0,2,1,1,2,0,2,1,3,2,0,1,2,1,0,0,2,0,2,0,0,0,0,1,2,1,0,1,2,2,1,0,2,0,0,2,0,2,0,3,1,1.2
26,1,1,0,1,0,1,2,0,1,2,1,0,1,1,1,1,0,0,0,1,1,1,0,2,0,1,0,2,1,0,0,0,1,3,0,1,0,2,3,2,0,0,2,2,1,1,1,0,2,1,1,1,3,3,0,1,0,1,1,1,0.95
27,0,0,3,1,1,1,2,2,0,1,0,0,2,2,1,2,0,1,0,1,0,0,3,2,1,0,0,2,4,2,0,0,2,4,0,1,0,0,1,2,1,2,1,0,0,0,3,0,1,0,1,0,0,0,0,0,2,1,1,2,0.983333333
28,1,1,1,0,2,1,3,2,1,1,1,2,0,1,2,0,1,0,1,0,2,2,3,0,0,1,1,4,1,0,2,2,1,0,0,1,0,2,0,1,0,0,0,0,0,0,4,0,0,1,0,2,1,0,0,2,0,2,1,1,0.966666667
29,3,0,0,3,0,1,0,1,2,3,1,1,1,1,0,3,1,1,1,0,2,1,1,0,0,1,0,1,3,1,1,2,2,2,2,0,0,0,0,1,1,1,0,0,4,0,0,0,1,0,2,2,1,1,0,2,0,1,0,2,1.016666667
30,3,0,2,1,0,1,1,1,1,2,0,0,1,1,0,0,0,2,0,4,0,0,0,1,0,0,1,2,2,3,0,0,0,2,2,3,0,2,0,0,2,0,1,0,2,1,1,0,3,1,1,1,1,0,0,0,2,1,2,1,0.966666667
31,0,1,0,1,1,0,2,0,1,2,3,0,0,0,1,1,0,0,1,1,1,1,2,3,1,1,3,2,3,0,2,0,1,2,2,0,0,0,0,0,1,1,2,1,1,3,2,0,2,0,0,2,0,0,1,0,1,2,2,1,1.016666667
32,0,2,1,0,1,0,0,3,2,2,0,1,0,0,3,0,0,1,0,0,0,0,0,0,2,1,0,3,3,1,0,0,2,1,2,0,0,0,0,2,1,0,1,2,1,1,0,0,1,1,0,2,1,2,2,2,0,1,4,0,0.916666667
33,1,0,1,0,1,0,1,1,0,2,0,0,2,2,0,1,3,0,1,1,0,2,0,1,0,1,1,3,2,0,3,3,3,1,1,2,0,1,0,1,0,2,0,0,1,2,2,0,1,2,1,2,3,0,1,2,1,1,3,3,1.15
34,2,0,1,1,1,0,0,1,0,0,2,1,3,2,1,2,0,3,2,2,0,1,2,1,1,0,2,0,0,0,2,3,2,1,0,1,0,2,0,2,1,1,2,0,0,0,0,0,1,1,2,2,1,1,2,1,0,1,2,1,1.05
35,2,0,0,0,1,0,0,1,1,2,1,2,2,1,1,2,0,1,0,0,0,1,0,2,1,2,1,0,0,2,1,1,0,0,0,2,0,0,0,0,1,0,1,1,1,2,1,0,1,1,1,0,2,1,1,2,1,1,1,0,0.816666667
36,0,0,1,1,0,0,1,1,0,2,0,1,1,1,0,2,0,2,0,0,0,0,2,2,0,2,0,3,0,4,0,0,0,0,2,1,0,0,0,0,2,2,0,2,0,4,4,0,0,2,0,1,0,3,1,0,2,0,1,1,0.9
37,1,1,2,0,0,0,1,2,0,2,1,0,0,0,1,2,2,0,3,1,0,1,2,1,0,0,0,1,0,1,2,0,0,0,0,2,0,0,0,0,0,3,0,0,1,0,0,0,1,2,0,2,0,0,0,1,1,2,2,1,0.75
38,2,1,2,1,1,0,1,0,2,0,1,0,0,2,1,0,2,1,2,2,0,2,0,0,0,2,2,3,0,0,2,0,0,1,0,2,0,0,0,1,0,2,3,1,1,0,2,1,0,0,0,2,2,1,1,0,0,0,0,1,0.883333333
39,2,0,1,4,0,0,1,0,1,0,1,0,2,1,1,4,1,0,0,0,0,0,2,0,2,2,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,3,2,1,0,0,1,0,2,2,1,1,1,2,1,2,0,3,2,0.9
40,0,0,1,1,2,0,0,1,1,2,1,1,1,2,1,0,2,1,3,2,0,3,2,0,0,0,0,1,0,1,0,0,1,2,1,1,0,0,0,3,0,0,0,2,1,1,1,1,1,1,1,0,0,0,1,0,1,2,1,0,0.85
41,0,2,0,0,1,2,3,0,1,2,0,3,0,1,0,2,4,2,2,1,0,2,1,0,1,3,1,1,0,2,0,0,2,4,0,1,0,0,0,1,1,1,0,0,1,3,2,1,2,2,1,3,0,2,1,3,0,0,0,1,1.15
42,2,1,2,0,0,2,1,3,3,0,1,2,2,2,2,1,1,0,2,2,0,0,0,2,0,1,1,1,0,2,0,0,2,2,0,1,0,0,0,0,2,2,1,1,0,4,1,1,0,0,2,2,2,1,1,0,1,1,1,0,1.066666667
43,0,0,0,4,0,1,1,1,1,0,1,0,2,0,2,2,1,2,1,0,0,1,0,3,3,0,0,1,0,2,0,2,1,0,3,0,0,0,0,1,1,2,2,3,2,3,1,0,1,0,0,1,0,1,0,0,2,2,3,1,1.016666667
44,1,2,2,1,2,0,1,1,0,0,0,0,0,0,4,0,2,2,1,0,0,2,2,1,0,1,2,0,0,2,0,2,0,0,1,1,0,0,0,1,1,0,3,1,1,2,3,3,1,0,1,2,1,4,0,2,0,0,1,1,1.016666667
45,0,1,0,0,1,2,0,1,0,0,2,2,2,1,1,1,2,0,1,0,0,3,0,0,0,0,1,0,0,0,0,2,0,0,3,0,0,0,0,1,1,0,0,0,3,2,3,2,1,0,1,2,1,2,2,0,1,0,0,0,0.8
46,1,0,2,0,0,2,2,2,2,0,1,2,2,1,2,1,2,1,2,0,0,0,1,0,0,1,0,0,0,0,0,2,1,0,0,0,3,0,0,0,3,2,2,0,0,0,0,2,0,1,0,1,0,1,3,1,2,2,1,2,0.933333333
47,2,1,0,0,0,2,2,1,0,0,0,1,2,2,0,0,0,4,0,0,0,0,2,3,1,0,2,0,0,0,0,2,3,0,1,0,1,0,0,0,1,2,1,3,0,0,4,0,2,1,0,2,0,0,2,2,2,0,1,3,0.966666667
48,0,1,2,0,4,1,0,0,0,0,0,1,1,0,1,0,2,2,4,0,1,0,1,1,1,1,1,0,0,0,0,0,2,0,2,0,0,0,1,1,4,0,2,1,2,2,0,1,5,2,2,0,1,0,2,1,0,2,0,1,0.983333333
49,0,0,1,0,0,1,0,1,0,0,1,0,1,0,2,0,3,1,1,0,1,1,2,2,0,2,1,0,0,0,2,0,0,0,1,2,1,0,1,1,0,0,0,3,1,3,2,2,3,0,2,0,2,0,1,0,1,0,0,0,0.816666667
50,0,3,2,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,2,2,0,0,2,1,2,0,2,0,1,2,1,0,1,0,2,2,1,0,3,0,2,0,0,1,3,1,0,2,0.783333333
51,0,1,0,1,3,0,1,1,1,2,0,0,1,1,0,0,1,0,2,0,1,1,1,0,1,0,0,0,0,0,2,2,0,0,0,2,1,0,1,0,1,1,2,0,0,0,1,2,2,1,0,0,0,0,2,2,0,1,2,1,0.75
52,0,1,0,2,0,2,0,0,2,1,3,0,2,0,0,2,3,0,1,0,0,0,2,0,1,0,0,0,3,0,1,1,0,0,1,0,1,0,0,1,3,0,1,2,0,0,3,0,0,2,0,0,0,0,0,2,1,0,0,2,0.766666667
53,0,1,0,3,1,3,1,0,0,0,2,2,3,0,2,3,0,2,0,0,2,0,0,0,2,1,1,0,3,1,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0,1,0,2,0,0,1,1,0,0.783333333
54,1,0,0,1,3,2,0,2,0,2,1,0,2,2,1,0,0,2,0,0,1,0,1,0,0,1,2,0,1,3,4,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,0,1,1,1,1,3,1,0.8
55,2,4,1,2,1,2,2,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,1,0,1,1,1,0,0,0,0,0,2,0,0,1,0,0,3,4,0,0,2,0,0,1,0,0,2,0,0,1,1,2,2,0,0.8
56,2,0,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,2,4,1,0,0,0,0,1,0,1,0,1,0,1,0,2,0,1,0,0,0,1,1,0,0,1,0,0,0,2,2,2,3,0.65
57,3,0,1,0,0,1,1,3,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2,0,2,2,2,1,1,0,0,0,1,2,0,0,1,1,2,0,1,1,0,1,0,0,3,1,0,0,0,0,0,0,2,2,0,2,0.733333333
58,2,1,0,1,0,3,0,0,0,1,0,3,3,0,2,0,3,0,2,0,1,0,0,3,2,0,0,0,2,2,2,0,0,2,0,1,0,0,0,1,0,0,1,0,0,3,0,0,2,0,0,0,0,0,0,2,0,1,0,2,0.8
59,1,3,0,1,0,0,0,0,1,2,0,0,2,0,0,1,2,0,0,0,2,2,0,1,0,0,2,1,1,0,2,0,0,1,0,2,4,0,2,0,0,0,1,2,0,2,0,0,2,0,2,0,0,1,0,2,1,0,0,0,0.766666667
60,3,2,0,0,0,0,1,1,2,1,1,1,1,0,0,3,0,0,0,0,0,3,0,1,0,2,0,2,2,1,0,0,0,0,0,1,3,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2,2,0,1,0,0,2,0.7
61,2,2,0,0,0,0,0,4,0,2,2,0,1,0,0,2,0,0,0,0,0,1,0,0,0,2,2,1,2,4,0,0,0,2,0,1,3,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,1,1,1,2,0.75
62,1,2,1,0,0,0,0,2,0,2,1,1,1,0,1,1,0,1,1,2,0,1,0,4,1,0,1,0,2,1,4,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,1,0,0,2,0,2,0,0,0,1,0,4,3,1,0.816666667
63,1,0,1,0,2,0,1,0,0,2,2,1,1,3,0,2,1,0,1,3,0,1,0,1,0,0,0,1,3,0,2,1,0,2,0,1,3,0,1,0,0,0,0,1,0,2,2,0,2,1,0,2,0,0,2,1,0,1,3,1,0.916666667
64,2,3,2,0,1,0,2,2,1,3,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,3,1,0,1,2,1,1,0,1,0,0,0,0,0,2,0,2,2,1,3,0,3,4,2,1,0,1,1,1,2,2,2,1,1.033333333
65,1,0,1,0,2,0,0,0,0,1,0,1,0,2,0,2,2,0,2,1,0,1,1,4,0,1,1,2,3,0,3,2,3,3,2,0,3,0,0,0,0,2,1,0,0,1,1,0,1,2,0,0,0,0,0,0,0,4,1,2,0.983333333
66,2,0,1,2,0,0,0,0,0,1,2,0,0,0,1,2,3,0,0,2,1,1,2,2,1,1,2,1,1,0,2,2,0,2,2,0,3,0,0,1,0,0,2,0,3,2,2,0,2,1,0,3,1,0,0,0,0,1,0,2,0.983333333
67,2,2,0,2,0,0,2,0,3,3,0,2,0,1,0,1,1,1,2,2,1,2,2,0,1,0,0,2,0,1,2,0,3,2,0,0,1,0,0,3,0,0,3,0,0,2,1,0,3,2,2,2,1,1,1,0,1,2,3,2,1.166666667
68,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,2,1,0,4,4,1,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,2,1,0,0,1,0,0,4,1,0,0.666666667
69,0,0,2,0,1,0,0,1,0,2,0,0,2,0,0,0,1,1,1,2,0,3,0,1,0,1,0,3,4,1,1,2,1,2,0,0,0,0,0,1,0,0,1,0,0,0,2,0,1,0,1,2,0,0,1,0,1,2,1,1,0.766666667
70,2,0,1,1,2,0,1,1,1,0,0,0,3,3,1,1,1,1,1,1,1,3,1,0,0,0,2,2,2,0,0,0,2,1,0,0,0,0,3,0,0,1,1,0,0,2,1,0,0,0,0,1,0,0,0,0,1,2,0,0,0.783333333
71,0,0,2,1,2,0,2,2,2,0,0,0,2,1,0,1,1,0,1,1,0,0,1,0,4,1,1,2,2,0,0,3,0,2,0,2,3,0,2,0,0,2,0,0,0,2,2,0,1,3,1,1,2,0,0,1,1,0,1,1,0.983333333
72,0,0,0,2,2,0,2,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,2,0,0,2,1,2,0,0,1,0,1,0,0,3,4,0,1,0,2,1,0,1,0,2,0,0,1,2,1,2,3,0,1,3,0,0,2,0,0.816666667
73,2,2,1,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,2,0,1,0,2,1,1,3,2,0,2,1,5,2,0,1,2,0,0,0,1,1,0,0,1,2,0,0,1,0,2,0,1,0,2,1,0,0,0,2,0.85
74,2,2,2,2,1,2,0,0,1,0,0,0,3,1,1,1,0,0,1,1,1,0,2,0,0,0,1,3,1,0,1,2,0,2,0,0,1,0,0,0,1,0,0,1,3,0,0,0,2,1,2,0,0,0,1,2,0,0,2,0,0.816666667
75,0,2,0,0,1,3,2,2,1,1,0,0,1,0,3,0,3,0,0,1,1,0,3,0,0,0,1,2,0,0,0,1,1,2,0,3,2,0,0,0,2,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0.783333333
76,1,2,0,0,1,2,2,0,1,1,2,0,0,0,2,3,0,0,1,1,1,0,0,0,1,0,0,1,5,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,2,0,0,2,0.65
77,2,1,1,0,0,0,1,2,0,0,2,0,0,0,0,1,0,0,0,3,0,0,2,0,0,3,2,2,0,0,1,2,0,2,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,2,0,0,2,0,2,0,2,4,0.75
78,0,1,0,0,1,2,2,2,1,0,2,0,2,1,0,1,0,1,2,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0,0,1,2,0,0,1,1,0,1,3,0,1,0,0,1,0,1,1,2,0,2,0,1,0,4,1,0.816666667
79,1,1,2,0,2,2,1,0,0,0,1,0,2,0,1,0,2,2,2,0,0,0,0,0,0,2,0,1,3,3,3,3,0,0,0,3,1,1,0,2,1,0,1,0,2,1,0,0,1,0,0,2,2,0,0,2,1,2,1,1,0.966666667
80,1,0,0,0,2,1,1,0,0,2,2,3,1,0,2,0,1,2,0,0,0,0,3,0,0,1,1,0,2,2,2,2,0,1,0,0,1,2,0,1,0,1,0,0,2,3,0,0,1,0,1,2,0,1,1,1,0,3,3,2,0.95
