tiempo,dato1a.n_seg,dato1b.n_seg,dato1c.n_seg,dato2a.n_seg,dato2b.n_seg,dato2c.n_seg,dato3a.n_seg,dato3b.n_seg,dato3c.n_seg,dato4a.n_seg,dato4b.n_seg,dato4c.n_seg,dato5a.n_seg,dato5b.n_seg,dato5c.n_seg,dato6a.n_seg,dato6b.n_seg,dato6c.n_seg,dato7a.n_seg,dato7b.n_seg,dato7c.n_seg,dato8a.n_seg,dato8b.n_seg,dato8c.n_seg,dato9a.n_seg,dato9b.n_seg,dato9c.n_seg,dato10a.n_seg,dato10b.n_seg,dato10c.n_seg,dato11a.n_seg,dato11b.n_seg,dato11c.n_seg,dato12a.n_seg,dato12b.n_seg,dato12c.n_seg,dato13a.n_seg,dato13c.n_seg,dato14a.n_seg,dato14b.n_seg,dato14c.n_seg,dato15a.n_seg,dato15b.n_seg,dato15c.n_seg,dato16a.n_seg,dato16b.n_seg,dato16c.n_seg,dato17a.n_seg,dato17b.n_seg,dato17c.n_seg,dato18a.n_seg,dato18b.n_seg,dato18c.n_seg,dato19a.n_seg,dato19b.n_seg,dato19c.n_seg,dato20a.n_seg,dato20b.n_seg,dato20c.n_seg,dato13b.n_seg,mean
22,1,0,1,1,1,1,1,1,0,2,1,0,1,1,0,0,1,0,1,1,0,1,1,0,0,2,0,1,0,1,1,0,2,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0.6
23,1,1,0,0,0,0,1,2,1,0,0,0,1,0,2,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1,1,1,0,0.566666667
24,0,0,0,0,1,1,1,1,0,1,1,0,1,2,1,0,1,1,1,1,0,2,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,0.666666667
25,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,2,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0.616666667
26,1,0,0,1,0,1,1,1,1,0,1,0,2,0,1,0,1,1,1,0,1,0,1,1,0,1,0,2,0,0,1,1,0,1,1,0,1,1,2,0,1,0,1,1,1,1,0,0,1,2,1,0,2,0,1,2,1,1,1,1,0.75
27,1,1,1,1,0,0,1,0,1,1,2,1,1,2,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,1,0,2,2,0,1,1,1,1,0,0,0,0,1,1,2,1,0,2,0,0,2,0,0,0,1,1,1,0.716666667
28,0,1,1,0,0,1,1,0,1,0,0,1,0,2,0,1,1,1,1,0,1,2,1,1,0,1,0,0,1,1,1,0,1,1,0,0,1,1,1,1,0,2,1,2,0,0,1,1,0,2,1,1,2,1,0,1,1,1,0,0,0.733333333
29,1,1,0,1,0,1,1,2,1,2,1,0,0,3,1,1,0,2,1,1,1,0,0,1,0,0,2,1,1,1,0,0,1,0,1,0,1,1,0,1,2,1,1,1,0,1,0,0,2,2,1,0,0,2,0,1,0,0,0,1,0.783333333
30,1,1,0,1,1,1,2,0,2,1,0,1,1,0,0,0,1,0,1,1,0,0,1,2,1,0,0,0,2,0,1,0,0,0,0,1,2,1,1,1,2,0,0,2,0,1,1,1,0,0,2,0,1,1,2,0,1,1,1,1,0.75
31,1,0,0,0,1,0,2,1,1,2,2,1,0,2,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,1,2,2,0,0,2,0,1,0,1,2,2,2,1,1,1,0,1,2,2,0,1,0,0,2,0,1,0,1,0.85
32,2,0,0,0,1,0,1,0,2,1,2,1,2,0,0,0,0,1,0,0,1,1,1,2,1,0,0,0,1,1,1,0,0,1,0,1,1,1,1,2,1,2,1,1,0,1,2,0,2,0,0,2,1,2,0,0,1,1,1,2,0.816666667
33,2,0,0,0,0,1,2,2,2,1,1,1,2,2,1,0,1,1,0,1,1,2,2,0,0,0,0,1,0,2,0,0,1,1,0,1,1,1,1,0,0,2,1,0,1,1,1,0,1,1,1,2,2,0,1,1,1,0,2,1,0.883333333
34,0,0,1,0,0,0,2,1,2,1,1,2,2,1,1,3,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0.65
35,1,0,0,0,1,0,1,2,2,1,1,1,0,1,0,1,1,1,1,0,0,0,1,0,2,0,0,1,1,3,1,1,3,0,0,2,0,0,1,1,0,1,0,1,0,0,2,1,1,1,2,1,2,2,0,1,1,0,1,0,0.816666667
36,1,0,0,0,1,1,1,2,1,1,0,1,2,2,0,1,2,1,1,1,1,0,0,0,1,0,1,2,1,1,1,0,2,1,1,0,0,1,2,0,1,2,1,0,0,1,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0.8
37,2,1,1,2,1,0,1,1,0,1,2,2,1,2,0,1,0,1,2,1,0,0,1,2,1,1,1,1,0,1,1,0,0,0,1,0,2,2,0,0,0,1,1,2,0,0,0,2,0,2,3,2,0,1,0,0,0,1,1,1,0.883333333
38,0,0,0,0,0,0,1,2,1,0,2,0,1,2,0,0,1,2,1,1,1,0,0,1,2,0,0,1,0,1,2,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,2,0,1,0,0,0,0,1,1,0,1,1,0.583333333
39,0,0,0,0,1,1,1,0,0,1,1,1,2,0,0,2,1,0,1,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,2,1,1,0,2,1,0,2,0,1,1,0,1,1,0,1,2,0,1,0,1,0,1,0.7
40,0,1,0,1,0,1,1,2,1,0,1,0,1,1,0,1,1,1,1,1,2,2,0,0,2,2,1,1,0,2,1,1,1,1,1,1,1,0,2,0,0,0,0,1,1,0,1,2,1,1,2,0,1,0,0,1,1,1,0,2,0.85
41,0,1,1,1,2,0,0,1,0,1,1,0,1,1,0,1,2,1,0,1,0,1,1,1,1,2,1,2,0,1,1,0,0,1,2,1,1,1,0,0,0,2,0,0,2,0,1,1,0,2,1,0,1,0,1,1,0,0,0,1,0.75
42,1,0,1,1,1,2,1,1,0,2,0,1,2,1,0,2,0,1,1,1,0,1,0,0,0,1,0,2,1,1,0,1,0,1,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0.65
43,0,1,0,1,1,1,1,0,0,1,1,1,2,1,0,1,1,1,1,0,1,1,1,0,1,0,0,1,1,2,1,1,0,0,0,0,0,2,1,1,0,0,0,1,1,0,0,0,1,2,1,1,1,1,1,1,0,1,0,0,0.683333333
44,0,0,0,2,2,1,1,0,0,1,0,0,1,3,0,1,2,0,2,0,1,2,1,2,2,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,2,1,0,0,0,1,2,0,1,1,0,1,1,0,0,0,0,0.783333333
45,0,0,2,1,0,1,1,0,0,0,0,2,1,0,0,0,1,1,1,1,1,2,2,1,2,0,0,1,0,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,1,1,2,1,0,0,1,2,0,0.666666667
46,0,1,0,0,1,1,1,0,0,1,0,1,2,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,2,0,0,0,1,2,1,0,0,0,2,1,0,1,2,1,0,1,1,0,1,0,0.65
47,0,0,0,0,3,1,1,0,0,0,1,0,1,2,0,1,1,1,1,2,0,1,1,0,1,0,0,2,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,2,1,0,1,1,1,2,0,1,0,1,1,0.633333333
48,0,2,1,0,2,1,0,0,0,0,1,1,1,1,0,0,1,1,0,1,1,1,2,2,2,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,2,0,1,0,1,1,0,2,0,2,0,0,1,0,1,0,0.633333333
49,0,0,0,0,1,2,1,0,0,0,0,1,2,2,0,0,0,2,1,2,0,0,0,0,2,0,2,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,3,0,0,2,0,1,1,1,0,0.583333333
50,0,0,1,0,1,0,0,0,0,0,0,1,2,0,0,0,2,2,1,2,0,0,0,2,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,2,0,1,2,0,1,0,0,1,0,0,1,1,0,0.5
51,0,2,1,0,2,2,0,0,0,0,0,0,2,2,0,0,0,1,2,1,0,0,0,0,2,0,0,1,1,1,0,1,0,0,0,0,0,1,2,0,0,0,1,0,2,0,2,0,0,0,0,0,0,2,1,0,1,1,1,0,0.583333333
52,0,0,2,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,2,0,0,0,0,1,0,2,2,1,1,2,1,0,0.466666667
53,1,1,0,0,2,1,0,0,0,0,1,1,1,1,1,0,2,0,1,2,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,2,1,0,0,1,0,1,0,1,0,2,0,0,0,0,2,1,1,0,0,1,0,0.566666667
54,0,2,0,0,1,0,0,0,0,0,1,2,2,1,1,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,3,0,0,0,1,0,0,1,2,0,0,0,1,0,0.433333333
55,1,1,2,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,2,1,0,3,0,0,0,0,0,0,1,0,1,0,0,1,1,0.466666667
56,1,2,1,0,2,0,0,0,0,0,0,2,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0.483333333
57,1,0,1,0,2,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0.35
58,1,0,0,0,1,0,0,0,0,0,1,1,2,1,2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0.316666667
59,0,1,0,0,1,0,0,0,0,0,0,1,0,2,1,0,0,2,0,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0.316666667
60,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2,0,1,0,0,2,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,1,0,1,1,0,0,0.4
61,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0.233333333
62,1,2,0,0,1,0,0,0,0,0,0,2,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.266666667
63,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.266666667
64,2,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,2,2,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0.333333333
65,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,2,1,0,0,0,0,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0.333333333
66,1,1,0,0,1,0,0,0,0,1,0,0,1,2,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.25
67,0,0,0,0,1,0,0,0,0,0,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.233333333
68,0,0,0,1,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.233333333
69,0,0,0,0,0,0,1,0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0.283333333
70,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,2,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0.316666667
71,0,0,0,1,0,0,0,0,0,0,0,3,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.316666667
72,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.25
73,0,0,0,0,1,0,0,0,0,1,1,2,1,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,2,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3
74,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.266666667
75,0,0,0,0,1,0,0,0,0,1,3,0,1,0,0,1,0,0,0,0,1,1,0,0,2,2,0,0,0,0,1,1,1,2,0,1,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.4
76,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,2,0,0,1,0,0,1,2,0,0,0,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.3
77,0,0,0,0,0,0,0,1,0,1,2,1,0,0,0,0,0,0,2,0,2,0,0,0,1,1,0,0,0,2,1,0,2,2,1,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.383333333
78,0,0,1,1,0,1,0,2,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0.383333333
79,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,2,0,2,0,0,0,1,0,1,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.333333333
80,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,3,1,1,0,0,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.366666667
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
