tiempo,dato1a.n_seg,dato1b.n_seg,dato1c.n_seg,dato2a.n_seg,dato2b.n_seg,dato2c.n_seg,dato3a.n_seg,dato3b.n_seg,dato3c.n_seg,dato4a.n_seg,dato4b.n_seg,dato4c.n_seg,dato5a.n_seg,dato5b.n_seg,dato5c.n_seg,dato6a.n_seg,dato6b.n_seg,dato6c.n_seg,dato7a.n_seg,dato7b.n_seg,dato7c.n_seg,dato8a.n_seg,dato8b.n_seg,dato8c.n_seg,dato9a.n_seg,dato9b.n_seg,dato9c.n_seg,dato10a.n_seg,dato10b.n_seg,dato10c.n_seg,dato11a.n_seg,dato11b.n_seg,dato11c.n_seg,dato12a.n_seg,dato12b.n_seg,dato12c.n_seg,dato13a.n_seg,dato13b.n_seg,dato13c.n_seg,dato14a.n_seg,dato14b.n_seg,dato14c.n_seg,dato15a.n_seg,dato15b.n_seg,dato15c.n_seg,dato16a.n_seg,dato16b.n_seg,dato16c.n_seg,dato17a.n_seg,dato17c.n_seg,dato18a.n_seg,dato18b.n_seg,dato18c.n_seg,dato19a.n_seg,dato19b.n_seg,dato19c.n_seg,dato20a.n_seg,dato20b.n_seg,dato20c.n_seg,dato17b.n_seg,mean
11,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,3,4,0,0,0,0,2,0,0,1,2,1,0,0,0,0,0,0,0,0,0,2,0,1,0,1,3,0,0,0,0,3,0,2,0,3,0,1,0,2,0,3,0,0,2,0.683333333
12,2,0,0,0,0,0,0,1,0,0,3,0,0,0,0,3,3,0,0,0,0,1,0,0,0,3,2,0,0,1,0,0,0,0,0,0,1,0,0,0,3,3,0,0,2,0,3,0,2,0,3,0,2,0,0,0,2,3,0,2,0.75
13,3,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,2,0,0,0,0,2,0,0,2,3,1,0,0,3,0,0,0,0,0,0,0,0,0,3,3,2,0,0,3,0,2,0,3,0,3,0,3,0,1,0,3,2,0,3,0.866666667
14,1,0,0,1,0,0,1,2,0,0,3,1,0,0,0,3,3,0,0,0,0,3,0,0,1,2,2,0,0,2,0,0,0,0,0,0,1,0,0,2,2,2,0,0,1,1,3,0,4,2,3,0,2,0,3,0,3,2,0,4,1
15,1,0,0,0,0,0,1,0,0,0,3,2,1,1,0,3,3,0,0,0,0,2,0,0,2,2,1,0,0,3,0,0,0,0,0,0,0,0,0,3,2,1,0,0,3,1,2,0,2,0,3,0,2,0,1,0,2,3,0,3,0.883333333
16,2,0,0,1,0,0,0,1,0,0,3,0,0,2,0,2,3,0,0,0,0,2,0,0,2,2,1,0,0,2,0,0,4,0,0,0,1,0,0,3,3,2,0,0,3,1,3,0,4,0,2,0,2,0,1,0,3,3,0,3,1.016666667
17,2,0,0,2,0,0,0,0,0,2,3,2,1,1,0,3,3,1,0,0,0,1,0,0,0,2,0,0,0,3,0,0,3,0,0,0,3,0,0,3,2,3,0,0,3,0,2,0,3,0,4,0,2,0,3,0,3,2,0,3,1.083333333
18,2,0,1,1,0,0,0,0,0,1,3,3,1,1,0,0,3,0,0,0,0,2,0,0,2,3,3,0,0,3,0,0,3,0,0,0,1,0,0,3,3,2,0,0,2,0,0,0,3,2,3,0,3,0,3,0,2,3,0,4,1.1
19,1,0,3,3,0,0,0,0,0,1,2,3,0,1,0,3,3,1,0,0,0,2,0,0,2,3,2,0,0,3,0,0,1,0,0,0,0,0,0,3,3,3,0,0,2,0,3,0,3,2,2,0,3,0,1,0,3,2,0,3,1.116666667
20,1,0,2,0,0,0,1,2,0,0,2,2,3,2,0,4,4,2,0,0,0,3,0,0,3,2,1,0,0,4,0,0,2,0,0,0,0,0,0,2,3,2,0,0,3,0,3,0,4,2,3,0,3,0,4,2,1,2,0,3,1.283333333
21,0,0,2,1,0,0,2,0,0,1,3,4,1,1,0,3,4,2,0,0,0,1,0,0,3,3,2,0,0,2,0,0,1,0,3,0,0,0,0,3,3,3,0,0,3,0,3,0,3,2,4,0,3,0,3,2,2,3,0,3,1.316666667
22,0,0,2,2,0,0,2,0,0,0,3,3,2,1,0,2,3,2,0,0,0,2,0,0,2,4,2,0,0,4,0,0,1,0,0,0,0,0,0,2,3,3,0,0,3,0,3,0,3,3,3,0,3,0,3,2,3,1,0,4,1.266666667
23,0,0,3,3,0,0,0,0,0,0,3,3,3,0,0,3,3,3,0,0,0,2,0,0,2,3,2,0,0,2,0,0,1,0,2,0,2,0,0,2,3,3,0,0,2,1,3,0,3,3,3,0,3,0,3,3,1,3,0,3,1.316666667
24,1,0,3,3,0,0,2,2,0,0,1,4,2,1,0,3,1,0,0,0,0,2,0,0,3,3,2,0,0,3,0,0,2,0,2,0,1,0,0,3,2,2,0,0,3,1,3,0,2,4,3,0,2,0,3,3,1,2,0,3,1.3
25,2,0,3,3,0,0,1,0,0,0,2,2,2,0,0,4,4,0,0,0,0,1,0,0,1,3,2,0,0,2,0,0,2,0,1,0,1,0,0,3,3,3,0,0,3,0,3,0,3,3,3,0,3,0,3,2,2,3,0,3,1.266666667
26,0,0,2,2,0,0,1,0,0,1,3,3,1,2,0,4,2,2,0,0,0,2,0,0,3,3,1,0,0,2,0,0,1,0,2,0,0,0,0,4,3,1,0,0,3,0,3,0,4,3,3,0,3,0,3,3,3,2,0,2,1.283333333
27,0,0,3,3,0,0,1,1,0,0,3,3,2,0,0,2,3,2,0,0,0,0,0,0,3,3,1,0,0,3,0,0,2,0,1,0,0,0,0,3,3,3,0,0,2,0,3,0,3,3,2,0,3,0,4,3,2,3,0,3,1.266666667
28,0,0,2,3,0,0,1,1,0,0,1,4,2,2,1,3,2,2,0,0,0,2,0,0,2,3,1,0,0,2,0,0,2,0,2,0,0,0,0,3,3,2,0,0,3,0,3,0,3,2,3,0,3,0,3,4,2,3,0,3,1.3
29,0,0,3,2,0,0,1,0,0,0,2,3,1,1,0,3,3,1,0,0,0,2,0,0,1,3,0,0,0,4,0,0,1,0,2,0,0,0,0,3,3,2,0,0,2,0,2,0,4,4,4,0,2,0,2,3,3,2,0,4,1.216666667
30,0,0,4,3,0,0,1,0,0,0,0,4,1,1,0,4,4,0,0,0,0,2,0,0,3,3,0,0,0,3,0,0,2,0,2,0,1,0,0,3,3,2,0,0,3,2,3,0,3,3,3,0,3,0,2,2,3,2,0,3,1.3
31,0,0,0,3,0,0,1,1,0,1,2,3,1,1,0,3,3,1,0,0,0,1,0,0,2,3,0,0,0,3,0,0,1,0,2,0,0,0,0,4,2,1,0,0,1,1,3,0,3,3,3,0,3,0,3,3,3,2,0,2,1.15
32,1,0,1,2,0,0,0,0,0,0,1,3,1,0,0,2,3,1,0,0,0,1,0,0,2,3,1,0,0,2,0,0,1,0,2,0,0,0,0,3,3,2,0,0,2,3,3,0,3,3,1,0,3,0,3,3,3,3,0,4,1.15
33,1,0,3,2,0,0,0,0,0,1,1,3,2,0,0,4,2,0,0,0,0,1,0,0,3,3,2,0,0,1,0,0,0,0,1,0,0,0,0,2,2,2,0,0,3,4,3,0,3,3,3,0,3,0,3,3,3,2,0,3,1.2
34,0,0,1,2,0,0,0,0,0,0,1,3,0,0,0,3,4,0,0,0,0,1,0,0,3,3,0,0,0,3,0,0,2,0,2,0,0,0,0,3,0,1,0,0,3,3,3,0,4,2,3,0,2,0,2,3,2,2,0,2,1.05
35,1,1,3,3,0,0,1,0,0,1,0,3,0,1,0,2,1,1,0,0,0,2,0,0,1,3,2,0,0,3,0,0,0,0,2,0,0,0,0,2,0,2,0,0,2,3,2,0,2,3,2,0,2,0,3,1,2,2,0,3,1.033333333
36,0,3,0,3,0,0,1,0,0,1,1,4,0,1,0,4,3,0,0,0,0,1,0,0,1,2,1,0,0,2,0,0,2,0,1,0,0,1,0,3,3,0,0,0,1,2,3,0,3,3,2,0,3,0,3,3,3,1,0,3,1.133333333
37,0,0,1,3,0,0,1,1,0,1,0,3,0,0,0,3,3,2,0,0,0,1,0,0,3,2,0,0,0,3,0,0,0,0,2,0,0,0,0,4,2,2,0,0,3,3,3,0,3,3,3,0,4,0,4,3,1,3,0,4,1.233333333
38,0,0,1,2,0,0,1,0,0,0,0,3,0,0,0,2,3,0,0,0,0,1,0,0,1,3,1,0,0,2,0,0,1,0,2,0,0,0,0,2,3,1,0,0,1,3,3,0,2,3,3,0,2,0,3,2,2,1,0,1,0.916666667
39,1,0,2,3,0,0,1,0,0,0,0,3,0,0,0,3,1,0,0,0,0,0,0,0,2,3,1,0,0,2,0,0,1,0,2,0,0,0,0,3,1,1,0,0,2,3,2,0,3,3,3,0,3,0,3,3,3,2,0,2,1.033333333
40,2,2,0,3,0,0,2,0,0,0,0,1,0,0,0,2,1,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,2,2,2,0,0,1,3,1,0,3,2,1,0,2,0,3,2,3,0,0,3,0.8
41,0,0,0,2,0,0,0,1,0,0,0,4,0,0,0,0,3,0,0,0,0,1,0,0,2,3,3,0,0,0,0,0,2,0,1,0,0,0,0,3,3,1,0,0,2,3,1,0,2,3,2,0,3,0,3,1,2,0,0,3,0.9
42,0,1,0,3,0,3,2,0,0,0,0,3,0,0,2,1,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,1,0,1,0,0,0,0,4,1,2,0,0,1,3,1,0,1,3,1,0,3,0,3,3,1,0,0,5,0.9
43,0,0,0,3,0,2,0,0,0,0,0,2,1,0,0,0,1,1,0,0,0,2,0,0,0,1,1,0,0,2,0,0,0,0,2,0,0,0,0,2,0,2,0,0,2,3,3,0,3,3,3,0,3,1,3,3,1,0,0,3,0.883333333
44,1,0,0,1,0,2,0,0,0,2,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,2,2,1,0,1,2,2,0,3,0,3,3,0,0,0,2,0.683333333
45,2,2,2,3,0,2,0,1,0,1,0,3,0,0,0,0,1,1,0,0,0,1,0,0,0,1,2,0,0,0,0,0,2,0,1,0,0,0,0,3,2,2,0,0,2,3,0,0,3,3,0,0,3,2,3,0,0,0,0,1,0.866666667
46,0,0,0,2,0,3,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,4,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0,3,3,0,0,0,1,3,0,0,1,3,0,0,2,0,3,2,0,0,0,3,0.716666667
47,0,2,0,3,0,2,1,1,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,3,0,1,1,0,2,0,0,0,3,0,2,0,0,0,0,4,3,1,0,0,1,3,0,0,1,3,0,0,3,2,3,0,0,0,0,2,0.883333333
48,0,0,0,3,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,1,0,2,0,0,2,2,0,0,0,2,3,0,0,0,3,0,0,1,0,3,0,0,0,0,0,0.516666667
49,0,0,0,2,0,3,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,3,1,0,2,0,1,0,0,0,2,0,2,0,0,0,0,2,3,2,0,0,1,3,0,0,0,3,0,0,2,1,2,0,0,0,0,0,0.683333333
50,2,2,0,3,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,2,2,0,1,0,0,0,0,2,3,0,0,0,0,3,0,0,0,3,0,0,0,1,3,0,0,0,0,0,0.6
51,0,0,0,1,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,2,0,0,2,0,0,0,0,3,3,1,0,0,0,3,0,0,0,2,2,0,0,2,3,0,0,0,0,0,0.55
52,0,0,0,2,0,3,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,2,1,0,2,1,0,0,0,0,0,0,3,2,1,0,0,0,3,0,0,0,3,0,0,0,1,3,0,0,0,0,0,0.566666667
53,0,2,0,2,0,3,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,2,0,2,0,0,2,1,0,2,0,0,0,0,3,3,1,0,0,0,2,0,0,0,3,0,0,0,3,3,0,2,0,0,0,0.716666667
54,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,2,2,0,2,0,0,0,0,3,3,2,0,0,2,3,0,0,0,2,1,0,1,4,3,0,0,0,0,0,0.633333333
55,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,1,2,2,0,3,3,1,0,1,0,0,1,0.55
56,0,0,0,0,0,2,0,1,1,0,0,0,1,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,1,0,2,0,0,0,0,2,2,2,0,0,1,3,0,0,2,1,3,0,2,3,1,0,0,0,0,2,0.666666667
57,0,0,0,1,0,2,1,2,1,0,0,0,1,0,0,2,1,0,0,0,0,0,0,3,0,0,0,0,2,0,0,3,4,0,0,0,2,0,0,3,1,1,0,0,1,3,0,0,3,2,2,0,0,2,1,0,0,0,0,1,0.75
58,0,2,0,0,0,2,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0,1,2,0,2,0,0,0,0,3,2,1,0,0,1,3,0,0,3,3,3,0,0,2,0,0,0,0,0,1,0.666666667
59,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,2,0,0,0,0,2,3,1,0,0,1,2,0,0,3,1,2,0,0,3,2,0,0,0,0,1,0.516666667
60,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,1,0,0,2,0,0,1,2,0,2,0,0,0,0,0,2,0,0,0,0,3,0,0,3,1,1,0,0,2,1,0,0,0,0,1,0.533333333
61,1,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,3,0,2,0,0,0,1,1,0,0,0,0,2,2,0,0,3,1,1,0,0,2,0,0,0,0,0,1,0.466666667
62,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,3,1,0,1,0,0,0,2,2,1,2,0,0,1,3,0,0,3,0,0,0,0,2,0,0,0,0,0,2,0.55
63,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,3,0,0,0,1,1,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0.366666667
64,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2,2,1,0,0,0,2,0,0,0,2,0,0,0,1,0,3,0,0,0,0,0.35
65,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,0,2,0,0,1,3,0,0,0,0,3,0,0,0,1,0,0,1,2,0,2,0,0,0,0,0.433333333
66,2,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,2,1,0,1,0,0,1,1,0,1,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0.4
67,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,2,0,0,3,1,0,3,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,2,0,3,0,3,0,2,0.55
68,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,3,0,2,0,3,0,2,0.416666667
69,1,0,0,0,0,0,1,1,2,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,0,0,4,0,0,0,3,1,1,0,0,0,0,0,0,4,0,0,0,1,1,0,3,0,3,0,3,0.666666667
70,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,1,0,0,1,0,0,2,0,0,1,4,0,0,0,2,4,1,0,0,0,0,0,0,4,0,0,0,2,1,0,3,0,2,0,3,0.666666667
71,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,3,0,3,0,2,0.416666667
72,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,2,1,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,2,2,0,0,0,0,0,0,4,0,0,0,0,1,0,3,3,0,0,3,0.516666667
73,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,2,0,0,2,3,0,0,1,2,2,2,0,0,0,0,0,0,3,0,0,0,0,1,0,2,3,1,0,4,0.583333333
74,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,3,3,3,1,0,2,0.45
75,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,4,0,0,0,1,0,3,3,3,2,0,3,0.583333333
76,0,0,0,2,0,0,1,0,1,1,0,0,1,0,0,2,1,0,0,0,2,0,0,0,0,2,1,0,0,0,0,2,0,0,2,3,0,0,0,2,0,1,0,0,0,0,1,0,3,0,0,0,0,3,0,3,3,0,0,3,0.666666667
77,0,0,0,3,0,0,0,2,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,3,2,0,1,1,0,0,0,3,0,0,0,0,0,0,2,0,3,0,0,0,0,2,4,2,2,0,0,3,0.7
78,0,0,0,2,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,1,0,1,2,0,0,1,2,0,0,0,0,0,0,2,0,4,0,0,0,0,0,2,3,3,0,0,3,0.566666667
79,0,0,0,2,0,0,2,1,0,0,0,0,1,0,2,2,2,0,0,0,2,0,0,1,1,0,1,0,1,1,0,3,2,0,1,2,0,0,0,1,0,3,0,0,0,0,3,0,3,0,0,0,0,1,3,1,2,0,0,2,0.766666667
80,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,2,0,0,0,1,2,0,0,0,2,0,2,0,0,0,0,0,0,1,2,0,1,0,0,0,0,2,0,3,0,1,0,0,0,3,2,3,0,0,2,0.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
