tiempo,dato1a.n_seg,dato1b.n_seg,dato1c.n_seg,dato1d.n_seg,dato1e.n_seg,dato2a.n_seg,dato2b.n_seg,dato2c.n_seg,dato2d.n_seg,dato2e.n_seg,dato3a.n_seg,dato3b.n_seg,dato3c.n_seg,dato3d.n_seg,dato3e.n_seg,dato4b.n_seg,dato4c.n_seg,dato4d.n_seg,dato4e.n_seg,dato5a.n_seg,dato5b.n_seg,dato5c.n_seg,dato5d.n_seg,dato5e.n_seg,dato6a.n_seg,dato6b.n_seg,dato6d.n_seg,dato6c.n_seg,dato6e.n_seg,dato7a.n_seg,dato7b.n_seg,dato7c.n_seg,dato7d.n_seg,dato7e.n_seg,dato8a.n_seg,dato8b.n_seg,dato8c.n_seg,dato8d.n_seg,dato8e.n_seg,dato9a.n_seg,dato9b.n_seg,dato9c.n_seg,dato9e.n_seg,dato10a.n_seg,dato10b.n_seg,dato10c.n_seg,dato10d.n_seg,dato10e.n_seg,dato11a.n_seg,dato11b.n_seg,dato11c.n_seg,dato11d.n_seg,dato11e.n_seg,dato12a.n_seg,dato12b.n_seg,dato12c.n_seg,dato12d.n_seg,dato12e.n_seg,dato13a.n_seg,dato13b.n_seg,dato13c.n_seg,dato13d.n_seg,dato13e.n_seg,dato14a.n_seg,dato14b.n_seg,dato14c.n_seg,dato14d.n_seg,dato14e.n_seg,dato15a.n_seg,dato15b.n_seg,dato15c.n_seg,dato15d.n_seg,dato15e.n_seg,dato16a.n_seg,dato16b.n_seg,dato16c.n_seg,dato16d.n_seg,dato16e.n_seg,dato17a.n_seg,dato17b.n_seg,dato17c.n_seg,dato17d.n_seg,dato17e.n_seg,dato18a.n_seg,dato18b.n_seg,dato18c.n_seg,dato18d.n_seg,dato18e.n_seg,dato19a.n_seg,dato19b.n_seg,dato19c.n_seg,dato19d.n_seg,dato19e.n_seg,dato20a.n_seg,dato20b.n_seg,dato20c.n_seg,dato20d.n_seg,dato20e.n_seg,dato9d.n_seg,dato4a.n_seg,mean
22,3,2,0,3,2,3,3,0,3,3,4,2,4,0,3,3,3,0,0,3,2,3,3,0,0,1,3,1,3,3,0,0,3,2,2,2,3,3,0,4,3,3,3,3,3,2,3,3,0,3,0,3,0,4,3,3,0,0,3,0,0,2,3,3,3,3,3,0,3,3,0,0,4,3,3,3,3,3,4,2,3,2,0,2,3,3,3,1,0,3,1,1,3,2,3,0,0,0,0,1,2.03
23,3,3,2,3,3,2,3,0,2,3,3,3,2,1,3,3,3,0,0,3,3,3,3,0,1,0,3,1,2,3,0,0,3,3,3,3,3,2,0,3,3,2,3,2,3,3,3,3,1,2,0,3,1,2,3,3,0,1,3,0,0,2,4,2,3,4,3,1,3,3,0,0,3,3,2,3,3,2,3,3,2,1,0,1,3,3,3,0,0,3,3,4,3,3,3,0,0,1,0,2,2.07
24,3,3,2,2,3,2,3,0,3,3,3,3,3,3,1,2,3,0,1,3,3,3,4,0,1,0,3,3,3,3,0,0,3,2,4,2,3,1,0,2,3,3,3,3,3,3,3,3,1,3,0,3,1,2,3,3,0,0,2,0,0,2,3,3,3,2,3,0,3,3,0,0,3,2,3,3,3,2,3,3,3,2,1,3,3,3,2,0,0,3,3,0,4,3,3,0,0,1,0,3,2.09
25,2,1,2,3,2,3,3,0,3,3,3,3,2,3,4,2,3,0,0,3,2,2,3,0,3,0,3,3,3,3,0,0,3,2,3,2,3,1,0,2,3,3,1,3,3,3,3,2,3,4,0,3,0,3,3,3,0,0,3,0,0,3,3,3,3,3,2,2,2,2,0,0,3,3,2,3,4,3,3,2,3,3,0,3,2,3,2,1,0,3,2,2,2,3,2,0,0,1,0,2,2.06
26,3,2,0,3,2,3,4,0,3,3,3,3,3,3,4,1,4,0,0,3,3,3,3,0,3,1,4,3,3,3,0,0,3,3,3,3,3,2,0,3,3,3,3,3,3,3,3,2,1,2,0,2,1,2,3,3,0,1,3,0,0,2,3,3,3,3,3,2,3,3,0,0,3,3,2,2,3,2,3,3,3,3,0,3,3,2,3,0,0,2,2,1,4,3,3,2,0,0,0,2,2.16
27,3,1,1,2,3,2,2,0,2,3,2,3,3,3,2,3,1,0,0,3,3,2,3,0,3,0,2,2,3,3,0,0,3,3,2,2,3,0,0,2,2,3,3,4,3,2,3,3,1,3,0,3,4,3,3,3,0,2,3,0,0,3,3,3,3,3,3,3,1,3,0,0,2,2,3,3,2,3,3,2,2,2,1,2,3,4,3,1,0,3,2,1,1,3,3,3,0,1,0,2,2.05
28,2,1,1,2,3,2,3,0,4,2,2,3,1,3,3,3,4,0,1,3,3,3,3,0,3,0,3,3,0,3,0,0,3,3,3,2,3,0,0,2,3,3,2,3,3,3,3,3,2,3,0,3,0,3,2,2,0,2,3,0,0,2,3,3,2,3,3,3,2,3,0,0,3,3,4,3,3,3,3,3,3,3,2,3,3,3,2,2,0,3,3,1,3,3,3,3,0,2,0,0,2.14
29,3,3,0,3,3,3,2,0,2,2,4,3,2,2,2,3,2,0,0,3,2,3,3,0,3,1,3,3,1,2,0,0,2,2,3,0,2,0,0,1,3,3,2,3,3,3,3,3,0,3,0,3,0,2,3,3,0,0,3,0,0,1,3,3,3,3,2,2,2,3,0,0,3,3,2,3,4,4,4,3,2,2,1,2,3,3,3,0,0,3,3,2,3,3,3,2,0,0,0,1,1.97
30,2,0,2,3,3,3,3,0,3,3,2,2,3,3,0,3,4,0,4,2,3,3,3,0,2,0,3,3,1,3,0,0,3,3,2,2,3,1,0,2,3,3,2,3,2,3,3,3,0,3,0,3,0,3,3,2,0,0,3,0,0,2,3,3,3,3,2,3,3,2,0,0,3,2,3,2,3,2,1,2,3,1,0,1,2,3,3,2,0,2,3,2,3,3,3,3,0,2,0,1,2
31,3,2,0,2,3,3,2,0,3,3,2,3,3,1,1,3,2,0,1,3,4,3,2,2,4,0,3,3,0,3,0,0,2,3,2,2,2,2,0,1,3,3,1,3,3,2,3,2,4,3,0,3,0,3,2,1,0,0,3,0,0,2,3,3,3,3,2,3,3,2,0,0,3,3,3,3,3,3,4,3,2,3,0,2,3,4,3,1,0,3,3,2,3,2,3,2,0,3,0,0,2.05
32,3,1,0,3,3,3,2,0,1,3,3,3,3,3,3,3,3,0,0,3,3,3,2,3,2,0,3,2,0,3,0,0,3,2,3,2,1,0,0,1,3,2,1,3,2,3,3,0,3,3,0,3,1,3,3,3,0,0,2,0,0,1,3,2,3,2,3,3,2,3,0,0,1,3,2,3,2,3,3,2,3,3,0,2,3,3,2,0,0,3,2,1,3,3,3,2,0,2,0,1,1.91
33,2,0,1,3,2,3,2,0,2,3,1,2,3,3,3,3,2,0,3,2,1,1,0,2,4,2,3,3,1,3,0,0,3,3,4,1,3,0,0,3,3,3,0,3,4,2,2,4,0,3,0,3,0,3,3,3,2,0,3,0,0,3,3,3,2,3,3,3,3,2,0,0,3,3,2,3,2,3,2,3,3,3,0,1,3,3,3,0,0,3,2,1,3,3,2,1,0,1,0,2,1.98
34,3,0,0,3,3,2,3,0,3,3,3,3,3,3,3,3,2,0,0,3,3,3,3,1,3,3,3,3,0,3,0,0,2,3,1,3,2,0,0,3,3,3,0,4,2,3,3,3,2,3,0,3,0,3,3,3,0,0,3,0,0,0,3,3,3,3,3,3,3,3,0,0,3,3,3,2,3,2,3,3,2,2,2,1,2,2,2,1,0,3,2,4,3,3,2,3,0,1,0,1,2.05
35,3,0,0,1,2,2,3,0,2,2,2,2,3,3,1,3,2,0,0,3,3,2,1,2,3,3,3,3,0,2,0,0,3,2,0,1,2,1,0,1,3,3,0,3,3,3,3,3,0,2,0,2,1,2,3,3,0,1,3,0,0,1,4,3,3,3,3,2,3,1,0,0,3,3,2,3,3,2,3,3,3,4,1,0,4,3,3,1,0,2,3,1,3,3,3,3,1,2,0,0,1.89
36,1,0,0,2,1,4,3,0,1,3,1,2,1,3,1,2,1,0,3,3,3,2,0,3,3,3,3,2,0,3,0,0,3,3,2,2,1,0,1,3,3,3,3,3,2,3,2,3,0,2,0,3,2,3,3,1,0,2,3,0,0,1,3,3,3,2,2,3,3,3,0,0,2,4,3,2,3,3,0,2,3,3,0,1,2,2,3,1,0,3,3,2,3,2,3,2,1,0,0,2,1.88
37,3,0,0,0,2,3,3,0,1,3,1,3,3,0,3,3,0,0,1,3,2,2,2,3,3,4,3,3,1,3,0,0,2,1,3,1,1,0,0,0,2,2,1,1,1,2,2,3,3,2,0,3,0,3,3,3,1,3,3,0,0,2,3,3,3,3,3,1,2,2,0,0,3,3,3,2,4,3,2,3,2,3,1,1,4,4,4,2,0,3,3,2,2,3,3,4,1,3,0,1,1.95
38,3,0,0,1,1,2,3,0,2,2,1,2,3,2,2,3,1,0,0,2,2,1,1,3,3,3,3,3,0,3,0,0,3,2,3,2,2,0,0,2,3,3,0,2,0,3,3,2,1,1,0,3,0,3,2,3,2,0,3,0,0,0,3,3,3,3,3,3,3,3,0,0,3,3,3,2,3,3,2,2,3,2,1,1,2,3,3,2,0,3,3,1,3,3,3,1,2,0,0,0,1.81
39,2,0,0,2,3,3,3,0,0,3,1,3,2,3,0,2,1,0,1,2,3,0,0,3,3,3,3,3,0,2,0,0,3,2,2,0,0,1,0,1,3,3,0,4,0,3,3,3,1,3,0,3,0,3,4,3,0,0,3,0,0,1,2,4,3,3,3,2,3,2,0,0,2,3,3,3,3,3,1,3,2,3,0,0,3,3,2,1,0,2,1,2,3,2,3,2,1,2,0,2,1.77
40,3,0,0,1,2,3,2,0,3,3,3,3,4,3,1,2,0,0,0,3,2,0,0,3,3,3,2,3,0,2,0,0,3,3,3,1,0,1,0,2,3,2,0,2,0,1,3,2,1,3,0,2,1,3,2,1,0,0,3,0,0,2,4,2,3,3,3,3,3,2,0,0,3,3,3,3,1,3,3,2,2,3,0,1,2,2,3,3,0,3,2,3,2,3,3,3,1,1,0,0,1.79
41,2,0,0,1,1,1,2,0,1,2,2,3,2,3,0,3,1,0,2,3,4,0,2,3,2,3,3,2,1,0,0,0,3,3,2,1,0,0,1,2,3,3,3,3,0,3,3,2,1,3,0,1,2,2,3,3,0,0,3,0,0,2,2,3,3,3,3,3,3,2,0,0,3,3,3,2,3,3,2,3,0,3,0,2,1,2,3,1,0,2,3,2,3,0,2,3,0,1,0,1,1.74
42,3,0,0,1,2,3,4,0,1,2,1,2,4,3,0,3,0,0,0,3,3,0,0,2,3,3,3,3,0,4,0,0,3,3,3,3,3,0,1,3,3,2,0,0,0,3,2,3,1,3,2,3,0,3,3,2,1,0,2,0,0,1,3,3,2,3,2,3,2,2,0,0,3,3,3,3,2,3,1,2,0,3,1,0,2,3,3,1,0,3,3,2,1,2,3,1,1,2,0,1,1.78
43,1,0,0,2,1,2,1,0,1,3,2,1,3,3,0,2,0,0,0,1,3,1,0,3,3,3,3,3,0,3,0,0,3,3,0,1,0,0,1,3,3,2,0,0,0,1,2,2,2,3,2,3,0,2,3,0,1,1,3,0,0,0,3,3,3,2,3,2,3,1,0,0,3,3,4,3,3,3,0,3,0,2,3,1,1,3,2,0,0,3,3,1,2,1,1,2,0,0,0,4,1.57
44,1,0,0,0,2,3,1,0,1,3,0,3,3,2,2,3,0,0,3,3,2,0,0,3,3,3,3,2,1,3,0,0,2,2,1,0,0,1,0,0,2,3,0,0,0,3,3,0,0,3,1,3,0,2,2,0,0,0,3,0,0,0,2,3,3,3,1,3,3,1,0,0,3,3,3,1,3,2,0,3,0,3,1,1,0,4,3,3,0,1,2,3,2,2,2,3,1,2,0,3,1.54
45,1,0,0,0,1,1,1,0,0,3,0,3,3,2,0,2,0,0,2,2,3,0,1,2,3,2,2,3,0,0,0,0,3,2,3,1,0,2,0,0,3,2,0,0,0,2,3,0,1,2,1,3,1,2,3,0,1,3,2,0,0,0,3,4,3,3,1,1,3,1,2,0,3,2,3,3,3,3,0,3,0,2,1,0,0,2,3,1,0,2,3,1,1,0,2,2,1,1,0,1,1.41
46,1,0,0,0,1,1,2,0,1,3,0,2,1,2,0,3,0,0,1,2,3,1,1,3,3,3,3,3,0,0,0,0,3,2,2,0,2,0,0,0,3,1,1,0,0,4,2,2,1,3,3,1,1,3,3,1,0,0,3,0,0,0,3,3,3,3,1,2,2,1,1,0,3,1,2,1,3,2,0,2,0,3,0,0,1,3,2,0,1,0,3,1,2,0,1,3,1,1,0,0,1.36
47,1,0,0,0,0,2,1,0,2,2,0,3,2,3,3,3,0,2,0,3,3,2,0,3,2,4,3,2,0,0,0,0,2,0,3,3,3,0,1,0,3,3,1,0,0,1,3,0,1,2,2,1,0,2,1,3,0,2,3,0,0,0,2,3,2,3,1,2,3,0,0,0,1,4,3,2,3,3,0,3,0,3,0,0,0,1,3,0,3,1,2,2,1,2,2,2,2,0,0,2,1.47
48,0,0,1,0,0,3,2,0,1,3,0,1,2,1,1,2,0,3,2,1,1,0,0,3,3,2,3,3,1,0,0,0,2,3,2,0,1,0,0,0,3,2,0,0,0,2,3,0,0,2,1,3,0,1,1,0,1,0,3,0,0,0,3,2,3,2,2,2,3,1,0,0,2,3,3,2,3,3,0,3,0,3,2,0,0,2,2,0,2,1,2,1,1,0,1,3,1,1,0,0,1.28
49,0,0,1,0,0,0,0,0,0,1,0,1,2,3,0,1,0,2,0,0,3,0,0,3,3,3,2,3,0,0,0,0,2,2,3,0,0,4,0,0,3,1,0,2,0,2,1,0,1,1,0,1,2,0,3,0,3,3,2,0,0,0,2,2,1,3,1,1,2,1,1,0,2,2,3,2,2,1,0,3,0,3,1,0,0,2,3,0,0,0,2,3,2,0,3,3,2,2,0,0,1.19
50,2,0,0,0,0,0,2,0,0,3,0,2,2,1,0,2,0,1,0,1,1,0,1,3,3,3,1,2,0,0,0,0,1,1,2,0,0,0,0,0,3,2,0,3,0,1,4,2,3,1,0,1,1,1,1,0,2,0,2,0,0,0,1,3,1,2,1,1,3,0,1,0,2,1,2,1,3,2,2,3,2,2,0,0,0,1,3,2,0,0,3,2,1,0,0,2,2,1,0,0,1.11
51,2,2,0,0,0,1,0,0,2,1,0,1,0,2,0,1,0,0,1,1,2,2,0,3,3,3,3,3,1,0,0,0,0,2,2,3,3,0,0,3,3,2,3,1,0,2,2,3,1,3,2,0,0,1,0,0,1,0,2,0,0,0,0,2,2,3,1,0,3,1,0,0,1,1,4,0,3,1,1,2,0,3,0,0,0,0,3,2,0,0,2,1,1,0,2,2,1,1,0,0,1.16
52,1,3,0,0,0,0,2,0,1,2,0,0,2,3,3,0,0,2,1,0,2,1,0,3,3,2,3,2,1,0,0,0,2,1,2,0,1,0,1,2,3,1,1,2,1,2,1,0,0,2,2,1,0,1,0,3,0,0,2,0,0,0,2,0,3,3,1,0,2,1,0,2,0,0,2,1,3,2,3,2,2,3,0,0,0,1,3,1,3,0,3,3,1,0,1,2,2,1,0,0,1.21
53,3,0,0,0,0,0,0,0,0,2,0,0,2,1,1,0,0,2,0,1,2,0,0,4,3,3,2,3,0,0,0,0,0,3,1,1,0,0,2,2,3,0,0,3,2,3,2,0,1,0,2,0,0,2,0,0,0,0,2,0,0,0,0,2,1,2,0,0,3,1,1,1,1,0,1,0,3,1,1,1,0,2,0,0,0,0,3,3,1,0,1,1,2,0,1,3,1,1,0,0,0.96
54,2,0,1,0,0,0,1,0,0,0,0,0,1,2,0,0,0,2,2,0,1,0,2,2,2,2,3,2,0,0,0,0,0,1,0,0,0,2,2,2,3,0,0,2,3,2,3,0,0,0,2,0,2,0,0,0,0,1,2,0,0,0,2,0,1,0,0,0,3,2,3,2,0,0,2,0,2,0,1,0,1,3,0,1,0,0,2,2,4,0,3,0,1,0,1,2,1,0,0,0,0.91
55,1,2,0,0,1,0,1,0,1,1,0,0,2,1,2,0,0,3,3,0,1,0,0,3,3,1,0,2,0,0,0,0,2,0,1,1,0,0,2,1,3,0,0,2,3,2,1,0,0,2,1,1,1,0,2,0,2,2,1,0,0,0,0,0,1,2,0,1,1,0,2,0,0,0,2,0,3,2,3,0,0,3,1,0,0,0,3,1,0,0,2,1,2,0,1,1,1,0,0,0,0.91
56,1,2,2,0,2,0,1,0,0,1,0,0,1,2,0,0,0,3,0,0,1,0,0,3,3,3,1,2,0,0,0,0,0,0,2,1,2,0,1,2,3,0,1,3,3,1,3,2,0,0,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,3,0,2,3,2,2,1,0,3,2,0,3,0,3,1,0,3,1,0,0,0,3,2,5,0,1,1,1,0,1,2,1,1,0,0,1.06
57,0,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,2,1,0,3,2,1,1,2,0,0,0,0,0,0,2,1,0,0,1,3,3,0,1,2,3,3,0,1,2,2,3,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,2,0,3,2,0,2,2,0,3,0,3,0,2,3,0,1,0,0,3,1,1,0,1,1,1,0,1,2,3,2,0,1,0.9
58,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,1,2,2,0,1,1,2,0,2,0,0,0,0,0,1,0,2,0,2,2,0,0,1,3,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,2,1,0,2,0,1,2,1,2,0,1,3,0,1,0,0,3,2,2,0,1,3,1,0,1,0,1,0,0,3,0.71
